Id da Instalação;Id do Equipamento;Nome;Tipo do Equipamento;Id Tipo de Rede;Tipo de Rede;Agente Proprietário;Data Prevista;Data Entrada;Data de Necessidade do SIN
SPITT2;SPITT21BC2          ;BC  138 kV   30 Mvar ITAPETINGA 2              2 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;03/08/2001;
SPJAN ;SPJAN-0BC1          ;BC   88 kV   50 Mvar JANDIRA                  1A SP                     ;BCP;SUP;SUPERVISAO     ;INTERLIGAÇÃO ELÉTRICA SERRA DO JAPI S.A.                       ;18/03/2012;30/03/2012;31/12/2011
SPJAN ;SPJAN-0BC2          ;BC   88 kV   50 Mvar JANDIRA                  1B SP                     ;BCP;SUP;SUPERVISAO     ;INTERLIGAÇÃO ELÉTRICA SERRA DO JAPI S.A.                       ;18/03/2012;30/03/2012;31/12/2011
SPJAN ;SPJAN-0BC3          ;BC   88 kV   50 Mvar JANDIRA                  2B SP                     ;BCP;SUP;SUPERVISAO     ;INTERLIGAÇÃO ELÉTRICA SERRA DO JAPI S.A.                       ;18/03/2012;05/04/2012;
SPJAU ;SPJAU-1BC1          ;BC  138 kV 12P2 Mvar JAU                       1 SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;;30/12/1990;
SPLEN ;SPLEN-101           ;BC  138 kV 21P6 Mvar LEN.PAULISTA             01 SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;;30/12/1990;
SPLES ;SPLES-0BC1          ;BC   88 kV   63 Mvar LESTE                     1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPLES ;SPLES-0BC2          ;BC   88 kV   63 Mvar LESTE                     2 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPMAI ;SPMAI-1BC1          ;BC  138 kV   30 Mvar MAIRIPORA                 1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPMAR1;SPMAR11BC1          ;BC  138 kV   20 Mvar MARILIA                   1 SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;;31/12/1990;
SPMFO ;SPMFO-0BC1          ;BC   88 kV 86P4 Mvar M. FORNASARO              1 SP                     ;BCP;BAS;BASICA         ;;13/09/2019;;01/01/2001
SPMFO ;SPMFO-0BC2          ;BC   88 kV 28P8 Mvar M. FORNASARO             2A SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPMFO ;SPMFO-0BC2B         ;BC   88 kV 28P8 Mvar M. FORNASARO             2B SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;31/12/2020;;
SPMFO ;SPMFO-0BC3          ;BC   88 kV 28P8 Mvar M. FORNASARO             3A SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPMFO ;SPMFO-0BC3B         ;BC   88 kV 28P8 Mvar M. FORNASARO             3B SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPMFO ;SPMFO-0BC4A         ;BC   88 kV 28P8 Mvar M. FORNASARO             4A SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;21/12/2020;;
SPMFO ;SPMFO-0BC4B         ;BC   88 kV 28P8 Mvar M. FORNASARO             4B SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;21/12/2020;;
SPMGI ;SPMGI-0BC1          ;BC   88 kV   63 Mvar MOGI                      1 SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
SPMIP2;SPMIP21BC1          ;BC  138 kV   30 Mvar MIRANTE PAR 2             1 SP                     ;BCP;SUP;SUPERVISAO     ;ELEKTRO REDES S.A.                                             ;15/01/2019;;
SPMIP2;SPMIP21BC2          ;BC  138 kV   30 Mvar MIRANTE PAR 2             2 SP                     ;BCP;SUP;SUPERVISAO     ;ELEKTRO REDES S.A.                                             ;15/01/2019;;
SPMOM3;SPMOM31BC1          ;BC  138 kV  100 Mvar MOGI MIRIM 3              1 SP                     ;BCP;COM;COMPLEMENTAR   ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;22/08/2011;25/08/2011;
SPNAP ;SPNAP-1BC1          ;BC  138 kV   30 Mvar NO.APARECIDA              1 SP                     ;BCP;SUP;SUPERVISAO     ;Companhia Paulista de Força e Luz                              ;;31/12/1990;
SPNOD ;SPNOD-0BC2A         ;BC   88 kV 28P8 Mvar NORDESTE                 2A SP                     ;BCP;SUP;SUPERVISAO     ;CTEEP-COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA.   ;;31/12/1990;
